Date,Name,Area,Magnitude,MMI,Days from 1/9/1857,Gap
8/24/2014,South Napa,North Bay,6.0,8,57570,1603
4/4/2010,Baja California,Baja California,7.2,7,55967,85
1/9/2010,Eureka,North Coast,6.5,6,55882,529
7/29/2008,Chino Hills,LA Area,5.5,6,55353,273
10/30/2007,Alum Rock,South Bay,5.6,6,55080,1408
12/22/2003,San Simeon,Central Coast,6.6,8,53672,1205
9/3/2000,Yountville,North Bay,5.0,7,52467,323
10/16/1999,Hector Mine,Eastern,7.1,7,52144,2098
1/17/1994,Northridge,LA Area,6.7,9,50046,568
6/28/1992,Landers,Inland Empire,7.3,9,49478,64
4/25/1992,Cape Mendocino,North Coast,7.2,9,49414,3
4/22/1992,Joshua Tree,Inland Empire,6.3,7,49411,299
6/28/1991,Sierra Madre,LA Area,5.6,7,49112,619
10/17/1989,Loma Prieta,Santa Cruz Mts,6.9,9,48493,70
8/8/1989,Loma Prieta,Santa Cruz Mts,5.4,7,48423,624
11/23/1987,Superstition Hills,Imperial Valley,6.1,6,47799,53
10/1/1987,Whittier,LA Area,5.9,8,47746,437
7/21/1986,Chalfant Valley,Eastern,6.2,6,47309,13
7/8/1986,N. Palm Springs,Inland Empire,6.0,7,47296,805
4/24/1984,Morgan Hill,South Bay,6.2,8,46491,358
5/2/1983,Coalinga,Central Valley,6.2,8,46133,905
11/8/1980,Eureka,North Coast,7.3,7,45228,167
5/25/1980,Mammoth Lakes,Eastern,6.2,7,45061,122
1/24/1980,Livermore,East Bay,5.8,7,44939,101
10/15/1979,Imperial Valley,Imperial Valley,6.4,9,44838,70
8/6/1979,Coyote Lake,South Bay,5.7,7,44768,358
8/13/1978,Santa Barbara,Central Coast,5.8,7,44410,2742
2/9/1971,San Fernando,LA Area,6.6,9,41668,496
10/1/1969,Santa Rosa,North Bay,5.6,7,41172,541
4/8/1968,Borrego Mtn,Imperial Valley,6.5,7,40631,4035
3/22/1957,San Francisco,Bay Area,5.7,7,36596,822
12/21/1954,Eureka,North Coast,6.5,7,35774,851
8/22/1952,Kern County,Central Valley,5.8,8,34923,32
7/21/1952,Kern County,Central Valley,7.3,9,34891,1325
12/4/1948,Desert Hot Springs,Inland Empire,6.4,7,33566,3122
5/18/1940,El Centro,Imperial Valley,6.9,10,30444,2626
3/10/1933,Long Beach,South Coast,6.4,8,27818,277
6/6/1932,Eureka,North Coast,6.4,8,27541,1676
11/4/1927,Lompoc,Central Coast,7.3,8,25865,858
6/29/1925,Santa Barbara,Central Coast,6.8,9,25007,889
1/22/1923,Humboldt County,North Coast,7.2,8,24118,945
6/21/1920,Inglewood,LA Area,4.9,8,23173,792
4/21/1918,San Jacinto,Inland Empire,6.7,9,22381,1034
6/22/1915,Imperial Valley,Imperial Valley,5.5,8,21347,3352
4/18/1906,San Francisco,Northern-Central,7.9,11,17995,2305
12/25/1899,San Jacinto,Inland Empire,6.7,9,15690,2806
4/19/1892,Vacaville-Winters,North Bay,6.4,9,12884,56
2/23/1892,Laguna Salada,Baja California,7.1,8,12828,7273
3/26/1872,Lone Pine,Eastern,7.6,10,5555,1252
10/21/1868,Hayward,Bay Area,6.5,9,4303,1109
10/08/1865,Santa Cruz Mts,Santa Cruz Mts,6.3,8,3194,3194
